,Unnamed: 0,itinerary,ap_los,market,travel_time,fare,provider,search_date,ond,is_duplicate,price_rank_abs,time_rank_abs,price_rank,time_rank
102,1301,VA0817-VA0894,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
103,1304,VA0895-VA0812,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
104,1307,VA0895-VA0810,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
105,1312,VA0895-VA0808,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
106,1314,VA0899-VA0808,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
107,1315,VA0823-VA0800,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
108,1317,VA0811-VA0898,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
109,1319,VA0899-VA0812,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
110,1321,VA0899-VA0814,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
111,1323,VA0899-VA0816,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
112,1325,VA0899-VA0894,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
113,1327,VA0899-VA0898,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
114,1329,VA0817-VA0898,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
115,1331,VA0895-VA0800,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
116,1333,VA0899-VA0806,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
117,1334,VA0823-VA0894,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
118,1336,VA0823-VA0804,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
119,1338,VA0823-VA0806,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
120,1340,VA0823-VA0814,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
121,1342,VA0823-VA0808,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
122,1344,VA0823-VA0810,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
123,1346,VA0823-VA0812,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
124,1348,VA0895-VA0804,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
125,1351,VA0823-VA0898,22_14,MELSYD,180,374.99,sabre,20180823,MELSYD,N,34,1,6,1
126,1353,JQ0502-JQ0603,22_14,MELSYD,180,379.19,sabre,20180823,MELSYD,Y,35,1,7,1
127,1355,JQ0502-JQ0605,22_14,MELSYD,180,379.19,sabre,20180823,MELSYD,Y,35,1,7,1
128,1357,JQ0604-JQ0603,22_14,MELSYD,180,381.59,sabre,20180823,MELSYD,Y,36,1,8,1
129,1359,JQ0604-JQ0605,22_14,MELSYD,180,381.59,sabre,20180823,MELSYD,Y,36,1,8,1
130,1361,QF0408-JQ0501,22_14,MELSYD,180,382.01,sabre,20180823,MELSYD,N,37,1,9,1
131,1363,QF0436-JQ0501,22_14,MELSYD,180,382.01,sabre,20180823,MELSYD,N,37,1,9,1
132,1365,QF0434-JQ0501,22_14,MELSYD,180,382.01,sabre,20180823,MELSYD,N,37,1,9,1
133,1366,QF0422-JQ0501,22_14,MELSYD,180,382.01,sabre,20180823,MELSYD,N,37,1,9,1
134,1368,QF0420-JQ0501,22_14,MELSYD,180,382.01,sabre,20180823,MELSYD,N,37,1,9,1
135,1370,JQ0602-JQ0611,22_14,MELSYD,180,384,sabre,20180823,MELSYD,Y,38,1,10,1
136,1372,JQ0606-JQ0611,22_14,MELSYD,180,384,sabre,20180823,MELSYD,Y,38,1,10,1
137,1374,JQ0608-JQ0611,22_14,MELSYD,180,384,sabre,20180823,MELSYD,Y,38,1,10,1
138,1376,QF0462-JQ0501,22_14,MELSYD,180,387.02,sabre,20180823,MELSYD,N,39,1,11,1
139,1378,QF0478-JQ0501,22_14,MELSYD,180,387.02,sabre,20180823,MELSYD,N,39,1,11,1
140,1380,JQ0502-JQ0501,22_14,MELSYD,180,390.4,sabre,20180823,MELSYD,Y,40,1,12,1
141,1382,JQ0604-JQ0501,22_14,MELSYD,180,392.8,sabre,20180823,MELSYD,Y,41,1,13,1
142,1384,JQ0500-JQ0603,22_14,MELSYD,180,395.2,sabre,20180823,MELSYD,Y,42,1,14,1
143,1386,JQ0500-JQ0605,22_14,MELSYD,180,395.2,sabre,20180823,MELSYD,Y,42,1,14,1
144,1388,JQ0520-JQ0603,22_14,MELSYD,180,395.2,sabre,20180823,MELSYD,Y,42,1,14,1
145,1390,JQ0520-JQ0605,22_14,MELSYD,180,395.2,sabre,20180823,MELSYD,Y,42,1,14,1
146,1392,JQ0524-JQ0605,22_14,MELSYD,180,395.2,sabre,20180823,MELSYD,Y,42,1,14,1
147,1394,JQ0524-JQ0603,22_14,MELSYD,180,395.2,sabre,20180823,MELSYD,Y,42,1,14,1
148,1396,JQ0610-JQ0611,22_14,MELSYD,180,397.79,sabre,20180823,MELSYD,Y,43,1,15,1
149,1397,JQ0520-JQ0501,22_14,MELSYD,180,406.41,sabre,20180823,MELSYD,Y,44,1,16,1
150,1398,JQ0500-JQ0501,22_14,MELSYD,180,406.41,sabre,20180823,MELSYD,Y,44,1,16,1
151,1399,JQ0524-JQ0501,22_14,MELSYD,180,406.41,sabre,20180823,MELSYD,Y,44,1,16,1
152,1400,JQ0602-JQ0529,22_14,MELSYD,180,409,sabre,20180823,MELSYD,Y,45,1,17,1
153,1401,QF0418-QF0407,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
154,1402,QF0416-QF0403,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
155,1403,QF0416-QF0401,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
156,1404,QF0414-QF0405,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
157,1405,QF0414-QF0401,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
158,1406,QF0412-QF0409,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
159,1407,QF0410-QF0409,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
160,1408,QF0410-QF0403,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
161,1409,QF0408-QF0409,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
162,1410,QF0434-QF0423,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
163,1411,QF0436-QF0423,22_14,MELSYD,180,424.01,sabre,20180823,MELSYD,N,46,1,18,1
