['MVD']|['BUE']|['2020-06-25', '2020-07-02']|50|200|
['MVD']|['MVD']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['MVD']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['MVD']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['MVD']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['BUE']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['BUE']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['BUE']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['BUE']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['SCL']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['SCL']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['SCL']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['SCL']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['MVD']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['MVD']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['MVD']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['MVD']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['BUE']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['BUE']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['BUE']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['BUE']|['2020-08-15', '2020-08-29']|50|200|
['BUE']|['SCL']|['2020-07-16', '2020-07-23']|50|200|
['BUE']|['SCL']|['2020-07-16', '2020-07-30']|50|200|
['BUE']|['SCL']|['2020-08-15', '2020-08-22']|50|200|
['BUE']|['SCL']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['MVD']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['MVD']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['MVD']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['MVD']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['BUE']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['BUE']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['BUE']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['BUE']|['2020-08-15', '2020-08-29']|50|200|
['SCL']|['SCL']|['2020-07-16', '2020-07-23']|50|200|
['SCL']|['SCL']|['2020-07-16', '2020-07-30']|50|200|
['SCL']|['SCL']|['2020-08-15', '2020-08-22']|50|200|
['SCL']|['SCL']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['MVD']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['MVD']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['MVD']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['MVD']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['BUE']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['BUE']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['BUE']|['2020-08-15', '2020-08-22']|50|200|
['MVD']|['BUE']|['2020-08-15', '2020-08-29']|50|200|
['MVD']|['SCL']|['2020-07-16', '2020-07-23']|50|200|
['MVD']|['SCL']|['2020-07-16', '2020-07-30']|50|200|
['MVD']|['SCL']|['2020-08-15', '2020-08-29']|50|200|
