,type,name,continent,iso_country,iso_region,iata_code,coordinates
19832,medium_airport,Bisho Airport,AF,ZA,ZA-EC,BIY,"-32.8970985413, 27.279100418099997"
19837,medium_airport,Bram Fischer International Airport,AF,ZA,ZA-FS,BFN,"-29.092699050900002, 26.302400589"
19842,medium_airport,Barberton Airport,AF,ZA,ZA-MP,,"-25.716869, 30.97518"
19864,large_airport,Cape Town International Airport,AF,ZA,ZA-WC,CPT,"-33.9648017883, 18.6016998291"
19892,medium_airport,Ben Schoeman Airport,AF,ZA,ZA-EC,ELS,"-33.0355987549, 27.825899124099998"
19894,medium_airport,Ermelo Airport,AF,ZA,ZA-MP,,"-26.4955997467041, 29.979799270629883"
19898,medium_airport,Ficksburg Sentraoes Airport,AF,ZA,ZA-FS,FCB,"-28.82309913635254, 27.908899307250977"
19907,medium_airport,Grand Central Airport,AF,ZA,ZA-GT,GCJ,"-25.986299514799995, 28.1401004791"
19908,large_airport,George Airport,AF,ZA,ZA-WC,GRJ,"-34.0056, 22.378902"
19913,medium_airport,Rand Airport,AF,ZA,ZA-GT,QRA,"-26.2425003052, 28.1511993408"
19936,medium_airport,Harrismith Airport,AF,ZA,ZA-FS,HRS,"-28.23509979248047, 29.106199264526367"
19949,large_airport,OR Tambo International Airport,AF,ZA,ZA-GT,JNB,"-26.1392, 28.246"
19953,medium_airport,P C Pelser Airport,AF,ZA,ZA-NW,KXE,"-26.8710994720459, 26.718000411987305"
19961,medium_airport,Kimberley Airport,AF,ZA,ZA-NC,KIM,"-28.802799224900003, 24.7651996613"
19962,medium_airport,Kruger Mpumalanga International Airport,AF,ZA,ZA-MP,MQP,"-25.3831996918, 31.1056003571"
19968,medium_airport,Johan Pienaar Airport,AF,ZA,ZA-NC,KMH,"-27.45669937133789, 23.411399841308594"
19972,medium_airport,Kleinsee Airport,AF,ZA,ZA-NC,KLZ,"-29.6884002686, 17.093999862700002"
19974,medium_airport,Lanseria Airport,AF,ZA,ZA-GT,HLA,"-25.938499450699997, 27.9260997772"
19976,medium_airport,Lime Acres Finsch Mine Airport,AF,ZA,ZA-NC,LMR,"-28.36009979248047, 23.43910026550293"
19978,large_airport,King Shaka International Airport,AF,ZA,ZA-NL,DUR,"-29.6144444444, 31.1197222222"
19989,medium_airport,Langebaanweg Airport,AF,ZA,ZA-WC,SDB,"-32.968898773199996, 18.1602993011"
19990,medium_airport,Ladysmith Airport,AF,ZA,ZA-NL,LAY,"-28.5816993713, 29.749700546299998"
19994,medium_airport,Malamala Airport,AF,ZA,ZA-NP,AAM,"-24.818099975585938, 31.544599533081055"
19996,medium_airport,Margate Airport,AF,ZA,ZA-NL,MGH,"-30.8574008942, 30.343000412"
20002,medium_airport,Mmabatho International Airport,AF,ZA,ZA-NW,MBD,"-25.798400878900004, 25.548000335699996"
20003,medium_airport,Riverside Airport,AF,ZA,ZA-MP,LLE,"-25.4300003052, 31.5767002106"
20007,medium_airport,Morningside Farm Airport,AF,ZA,ZA-NW,,"-25.7045001984, 26.9090003967"
20009,medium_airport,Mkuze Airport,AF,ZA,ZA-NL,MZQ,"-27.626100540161133, 32.0443000793457"
