,Unnamed: 0,x
340,16424,"Inukjuak Airport,Inukjuak Airport(YPH)"
341,16426,"Pickle Lake Airport,Pickle Lake Airport(YPL)"
342,16427,"Pikangikum Airport,Pikangikum Airport(YPM)"
343,16428,"Port Menier Airport,Port Menier Airport(YPN)"
344,16429,"Peawanuck Airport,Peawanuck Airport(YPO)"
345,16431,"Peterborough Airport,Peterborough Airport(YPQ)"
346,16432,"Prince Rupert Airport,Prince Rupert Airport(YPR)"
347,16436,"Powell River Airport,Powell River Airport(YPW)"
348,16437,"Puvirnituq Airport,Puvirnituq Airport(YPX)"
349,16438,"Fort Chipewyan Airport,Fort Chipewyan Airport(YPY)"
350,16440,"Muskoka Airport,Muskoka Airport(YQA)"
351,16441,"Quebec Jean Lesage International Airport,Quebec Jean Lesage International Airport(YQB)"
352,16442,"The Pas Airport,The Pas Airport(YQD)"
353,16443,"Red Deer Regional Airport,Red Deer Regional Airport(YQF)"
354,16444,"Windsor Airport,Windsor Airport(YQG)"
355,16445,"Watson Lake Airport,Watson Lake Airport(YQH)"
356,16446,"Yarmouth Airport,Yarmouth Airport(YQI)"
357,16447,"Kenora Airport,Kenora Airport(YQK)"
358,16448,"Lethbridge County Airport,Lethbridge County Airport(YQL)"
359,16449,"Greater Moncton International Airport,Greater Moncton International Airport(YQM)"
360,16450,"Nakina Airport,Nakina Airport(YQN)"
361,16451,"Comox Airport,Comox Airport(YQQ)"
362,16452,"Regina International Airport,Regina International Airport(YQR)"
363,16453,"St Thomas Municipal Airport,St Thomas Municipal Airport(YQS)"
364,16454,"Thunder Bay Airport,Thunder Bay Airport(YQT)"
365,16455,"Grande Prairie Airport,Grande Prairie Airport(YQU)"
366,16456,"Yorkton Municipal Airport,Yorkton Municipal Airport(YQV)"
367,16457,"North Battleford Airport,North Battleford Airport(YQW)"
368,16458,"Gander International Airport,Gander International Airport(YQX)"
369,16459,"Sydney / J.A. Douglas McCurdy Airport,Sydney / J.A. Douglas McCurdy Airport(YQY)"
370,16460,"Quesnel Airport,Quesnel Airport(YQZ)"
371,16461,"Rae Lakes Airport,Rae Lakes Airport(YRA)"
372,16462,"Resolute Bay Airport,Resolute Bay Airport(YRB)"
373,16464,"Rivière-du-Loup Airport,Rivière-du-Loup Airport(YRI)"
374,16465,"Roberval Airport,Roberval Airport(YRJ)"
375,16466,"Red Lake Airport,Red Lake Airport(YRL)"
376,16468,"Ottawa / Rockcliffe Airport,Ottawa / Rockcliffe Airport(YRO)"
378,16470,"Trois-Rivières Airport,Trois-Rivières Airport(YRQ)"
379,16471,"Red Sucker Lake Airport,Red Sucker Lake Airport(YRS)"
380,16472,"Rankin Inlet Airport,Rankin Inlet Airport(YRT)"
381,16473,"Revelstoke Airport,Revelstoke Airport(YRV)"
382,16476,"Sudbury Airport,Sudbury Airport(YSB)"
383,16477,"Sherbrooke Airport,Sherbrooke Airport(YSC)"
384,16480,"Stony Rapids Airport,Stony Rapids Airport(YSF)"
386,16482,"Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls-Montague (Russ Beach) Airport(YSH)"
387,16483,"Saint John Airport,Saint John Airport(YSJ)"
388,16484,"Sanikiluaq Airport,Sanikiluaq Airport(YSK)"
389,16485,"St Leonard Airport,St Leonard Airport(YSL)"
390,16486,"Fort Smith Airport,Fort Smith Airport(YSM)"
391,16487,"Niagara District Airport,Niagara District Airport(YCM)"
392,16488,"Marathon Airport,Marathon Airport(YSP)"
393,16491,"St. Theresa Point Airport,St. Theresa Point Airport(YST)"
394,16492,"Summerside Airport,Summerside Airport(YSU)"
395,16494,"Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport(YSY)"
396,16496,"Pembroke Airport,Pembroke Airport(YTA)"
397,16497,"Cape Dorset Airport,Cape Dorset Airport(YTE)"
398,16498,"Alma Airport,Alma Airport(YTF)"
399,16499,"Thompson Airport,Thompson Airport(YTH)"
400,16500,"Big Trout Lake Airport,Big Trout Lake Airport(YTL)"
401,16502,"Tasiujaq Airport,Tasiujaq Airport(YTQ)"
402,16503,"CFB Trenton,CFB Trenton(YTR)"
403,16504,"Timmins/Victor M. Power,Timmins/Victor M. Power(YTS)"
404,16505,"Billy Bishop Toronto City Centre Airport,Billy Bishop Toronto City Centre Airport(YTZ)"
405,16506,"Tuktoyaktuk Airport,Tuktoyaktuk Airport(YUB)"
406,16507,"Montreal / Pierre Elliott Trudeau International Airport,Montreal / Pierre Elliott Trudeau International Airport(YUL)"
407,16508,"Repulse Bay Airport,Repulse Bay Airport(YUT)"
408,16509,"Hall Beach Airport,Hall Beach Airport(YUX)"
409,16510,"Rouyn Noranda Airport,Rouyn Noranda Airport(YUY)"
410,16511,"Bonaventure Airport,Bonaventure Airport(YVB)"
411,16512,"La Ronge Airport,La Ronge Airport(YVC)"
413,16515,"Vernon Airport,Vernon Airport(YVE)"
414,16517,"Qikiqtarjuaq Airport,Qikiqtarjuaq Airport(YVM)"
415,16518,"Val-d'Or Airport,Val-d'Or Airport(YVO)"
416,16519,"Kuujjuaq Airport,Kuujjuaq Airport(YVP)"
417,16520,"Norman Wells Airport,Norman Wells Airport(YVQ)"
418,16521,"Vancouver International Airport,Vancouver International Airport(YVR)"
419,16523,"Wiarton Airport,Wiarton Airport(YVV)"
420,16524,"Deer Lake Airport,Deer Lake Airport(YVZ)"
421,16525,"Petawawa Airport,Petawawa Airport(YWA)"
422,16526,"Winnipeg / James Armstrong Richardson International Airport,Winnipeg / James Armstrong Richardson International Airport(YWG)"
423,16528,"Déline Airport,Déline Airport(YWJ)"
424,16529,"Wabush Airport,Wabush Airport(YWK)"
425,16530,"Williams Lake Airport,Williams Lake Airport(YWL)"
426,16532,"Webequie Airport,Webequie Airport(YWP)"
427,16534,"Wrigley Airport,Wrigley Airport(YWY)"
428,16535,"Cranbrook/Canadian Rockies International Airport,Cranbrook/Canadian Rockies International Airport(YXC)"
