,Unnamed: 0,name,iso_country,municipality,iata_code
3073,39526,Tsushima Airport,JP,Tsushima,TSJ
3074,39527,Monbetsu Airport,JP,Monbetsu,MBE
3075,39528,Asahikawa Airport,JP,Asahikawa / Hokkaidō,AKJ
3076,39529,Okushiri Airport,JP,Okushiri Island,OIR
3077,39530,Rishiri Airport,JP,Rishiri,RIS
3078,39532,Yakushima Airport,JP,Yakushima,KUM
3079,39533,Fukue Airport,JP,Goto,FUJ
3080,39534,Fukuoka Airport,JP,Fukuoka,FUK
3081,39535,New Tanegashima Airport,JP,Tanegashima,TNE
3082,39536,Kagoshima Airport,JP,Kagoshima,KOJ
3083,39537,Miyazaki Airport,JP,Miyazaki,KMI
3084,39539,Oita Airport,JP,Oita,OIT
3085,39540,Kitakyūshū Airport,JP,Kitakyūshū,KKJ
3086,39541,Saga Airport,JP,Saga,HSG
3087,39542,Kumamoto Airport,JP,Kumamoto,KMJ
3088,39543,Nagasaki Airport,JP,Nagasaki,NGS
3089,39546,Chubu Centrair International Airport,JP,Tokoname,NGO
3090,39547,Amami Airport,JP,Amami,ASJ
3091,39548,Okierabu Airport,JP,Okinoerabujima,OKE
3092,39549,Kikai Airport,JP,Kikai,KKX
3093,39550,Tokunoshima Airport,JP,Tokunoshima,TKN
3094,39551,Nagoya Airport,JP,Nagoya,NKM
3096,39553,Gifu Airport,JP,Gifu,QGU
3097,39555,Komatsu Airport,JP,Kanazawa,KMQ
3098,39556,Oki Airport,JP,Okinoshima,OKI
3099,39557,Mt. Fuji Shizuoka Airport,JP,Makinohara / Shimada,FSZ
3100,39558,Toyama Airport,JP,Toyama,TOY
3101,39559,Noto Airport,JP,Wajima,NTQ
3102,39561,Hiroshima Airport,JP,Hiroshima,HIJ
3103,39562,Okayama Airport,JP,Okayama City,OKJ
3104,39563,Izumo Airport,JP,Izumo,IZO
3105,39566,Miho Yonago Airport,JP,Yonago,YGJ
3106,39567,Iwakuni Marine Corps Air Station,JP,Iwakuni,IWK
3107,39568,Kōchi Ryōma Airport,JP,Nankoku,KCZ
3108,39569,Matsuyama Airport,JP,Matsuyama,MYJ
3109,39570,Osaka International Airport,JP,Osaka,ITM
3110,39572,Tottori Airport,JP,Tottori,TTJ
3111,39573,Tokushima Airport/JMSDF Air Base,JP,Tokushima,TKS
3112,39574,Takamatsu Airport,JP,Takamatsu,TAK
3113,39575,Iwami Airport,JP,Masuda,IWJ
3114,39578,Aomori Airport,JP,Aomori,AOJ
3115,39579,Yamagata Airport,JP,Yamagata,GAJ
3116,39580,Sado Airport,JP,Sado,SDS
