,type,name,iso_country,iata_code
53921,medium_airport,Narromine Airport,AU,QRM
53927,medium_airport,Normanton Airport,AU,NTN
53939,medium_airport,Newman Airport,AU,ZNE
53971,medium_airport,Orange Airport,AU,OAG
53982,large_airport,Adelaide International Airport,AU,ADL
53983,medium_airport,Port Augusta Airport,AU,PUG
53988,medium_airport,Paraburdoo Airport,AU,PBO
53989,medium_airport,Cocos (Keeling) Islands Airport,CC,CCK
53996,medium_airport,Darwin International Airport,AU,DRW
54005,medium_airport,Gove Airport,AU,GOV
54008,medium_airport,Port Pirie Airport,AU,PPI
54012,medium_airport,Perth Jandakot Airport,AU,JAD
54013,medium_airport,Karratha Airport,AU,KTA
54015,medium_airport,Kalgoorlie Boulder Airport,AU,KGI
54019,medium_airport,Parkes Airport,AU,PKE
54020,medium_airport,Port Keats Airport,AU,PKT
54021,medium_airport,Kununurra Airport,AU,KNX
54022,medium_airport,Port Lincoln Airport,AU,PLO
54027,medium_airport,Learmonth Airport,AU,LEA
54033,medium_airport,Port Macquarie Airport,AU,PQQ
54039,medium_airport,Portland Airport,AU,PTJ
54042,medium_airport,Port Hedland International Airport,AU,PHE
54044,large_airport,Perth International Airport,AU,PER
54053,medium_airport,Tindal Airport,AU,KTR
54059,medium_airport,Christmas Island Airport,CX,XCH
54068,medium_airport,Quilpie Airport,AU,ULP
54094,medium_airport,Renmark Airport,AU,RMK
54110,medium_airport,Roma Airport,AU,RMA
54136,medium_airport,Sydney Bankstown Airport,AU,BWU
54139,large_airport,Canberra International Airport,AU,CBR
54140,medium_airport,Coffs Harbour Airport,AU,CFS
54141,medium_airport,Camden Airport,AU,CDU
54146,medium_airport,Dubbo City Regional Airport,AU,DBO
54158,medium_airport,Shark Bay Airport,AU,MJK
54161,medium_airport,Shepparton Airport,AU,SHT
54172,medium_airport,Smithton Airport,AU,SIO
54176,medium_airport,Snake Bay Airport,AU,SNB
54177,medium_airport,Norfolk Island International Airport,NF,NLK
54179,medium_airport,Nowra Airport,AU,NOA
54188,medium_airport,RAAF Base Richmond,AU,XRH
54191,large_airport,Sydney Kingsford Smith International Airport,AU,SYD
54200,medium_airport,Tamworth Airport,AU,TMW
54207,medium_airport,Wagga Wagga City Airport,AU,WGA
54208,medium_airport,Swan Hill Airport,AU,SWH
54210,medium_airport,Stawell Airport,AU,SWC
54232,medium_airport,Telfer Airport,AU,TEF
54234,medium_airport,Temora Airport,AU,TEM
54241,medium_airport,Thargomindah Airport,AU,XTG
54250,medium_airport,Tibooburra Airport,AU,TYB
54267,medium_airport,Tumut Airport,AU,TUM
54272,medium_airport,Thangool Airport,AU,THG
54273,medium_airport,Tennant Creek Airport,AU,TCA
54288,medium_airport,Taree Airport,AU,TRO
54304,medium_airport,Yangzhou Taizhou Airport,CN,YTY
54350,medium_airport,Windorah Airport,AU,WNR
54367,medium_airport,Wangaratta Airport,AU,WGT
54369,medium_airport,Whyalla Airport,AU,WYA
54381,medium_airport,Warracknabeal Airport,AU,WKB
54391,medium_airport,Walgett Airport,AU,WGE
54393,medium_airport,Newcastle Airport,AU,NTL
54396,medium_airport,Wiluna Airport,AU,WUN
54414,medium_airport,Wollongong Airport,AU,WOL
54427,medium_airport,Warren Airport,AU,QRR
54434,medium_airport,West Sale Airport,AU,SXE
54438,medium_airport,Winton Airport,AU,WIN
54448,medium_airport,West Wyalong Airport,AU,WWY
54453,medium_airport,Wynyard Airport,AU,BWT
54552,medium_airport,Sanhe Airport,CN,YYA
54573,medium_airport,Young Airport,AU,NGA
54780,large_airport,Beijing Capital International Airport,CN,PEK
54781,large_airport,Beijing Daxing International Airport,CN,PKX
54783,medium_airport,Chengde Puning Airport,CN,CDE
54784,medium_airport,Chifeng Airport,CN,CIF
54786,medium_airport,Qinhuangdao Beidaihe Airport,CN,BPE
54787,medium_airport,Ordos Ejin Horo Airport,CN,DSN
